b_mm,d_mm,rh0_s,fc_MPa,fy_MPa,M_kNm,es,c_d,b_d
628.2319577570122,776.0,0.28555729182704026,39.0,418.0,-36140.2247853442,-0.002357266448889599,4.6675640237188984,0.8095772651507889
791.1078651033773,536.0,0.14640049752122797,21.0,517.0,-19269.539076952835,-0.0023986250896399107,4.988568608896021,1.4759475095212264
204.89497330706484,415.0,0.6379149860685216,53.0,431.0,-19904.07201348866,-0.00266995299739518,9.089614437710958,0.4937228272459394
1959.1834204641953,1351.0,0.9776161438613057,41.0,434.0,-7718483.295221505,-0.0028134291575586815,16.079682981243856,1.4501727760652814
2710.70405693703,1500.0,0.12420950799852437,62.0,365.0,157573.27755289132,-0.0007332818578685277,1.3234993554068428,1.8071360379580201
2522.815400570029,1283.0,0.5491162190784474,52.0,457.0,-1916212.1036754,-0.0026414426560792594,8.366862514084085,1.9663409201637014
400.422920961851,364.0,0.6990465070712002,56.0,492.0,-47674.443253007405,-0.0027301201927525686,11.116059517745006,1.1000629696754147
583.2824797887931,921.0,0.6308105028119894,32.0,345.0,-323084.6179700005,-0.0026920062151475936,9.740456293420424,0.633314310302707
920.8140429070384,680.0,0.782214065831289,29.0,512.0,-1214744.7121439704,-0.0028443688352352246,19.276344840920963,1.3541382983927035
2906.4559363523485,1485.0,0.1896111734286845,50.0,463.0,-18468.97053375166,-0.0019937428797825985,2.9813453636500493,1.9572093847490564
928.8197238183286,560.0,0.43109838356188007,21.0,600.0,-470535.04899327055,-0.0028240250882566563,17.047884668784185,1.658606649675587
785.8970749837592,1003.0,0.7193060907201754,39.0,429.0,-891552.1483615789,-0.002751383769526932,12.06679062863911,0.7835464356767291
2352.069560313679,1473.0,1.2154491247918382,52.0,501.0,-18299196.41113998,-0.002852237380158569,20.302834392212326,1.5967885677621718
2267.706484423346,1471.0,0.2624065218457996,25.0,469.0,-1144819.0793039864,-0.0025596969971698655,6.813489757546299,1.5416087589553678
300.1116460247307,782.0,0.7821487211724905,54.0,302.0,-68193.65335244623,-0.0026127489797574664,7.746913095596528,0.383774483407584
514.6747268199204,444.0,0.8251548450291124,33.0,303.0,-87688.14890475097,-0.002725935456406134,10.946326586651328,1.1591773126574783
627.0110905863231,696.0,0.5070548205324674,48.0,372.0,-75142.24622407684,-0.0025411288846133562,6.537783485177982,0.9008780037159815
929.6422669006281,1327.0,0.2582915391319984,63.0,341.0,25609.572687848962,-0.001814423650093088,2.530414848639272,0.7005593571217996
339.06541973841087,317.0,0.3854909106946718,27.0,377.0,-10726.612474918174,-0.002597313214957569,7.449958904620851,1.0696070023293718
1643.3499911376289,1311.0,0.3953614956780329,46.0,384.0,-403685.46370784834,-0.002442601552408039,5.382146313755299,1.253508765169816
1682.0828843095624,951.0,0.06988433327123267,64.0,496.0,35931.737023496775,6.0356416535689746e-05,0.980277978012766,1.76875171851689
1708.8748949813983,1180.0,0.6129308683913091,21.0,515.0,-5890061.653649117,-0.002855801853514734,20.80470569922717,1.4481990635435578
2269.6968341006086,1136.0,0.23780131016030792,20.0,523.0,-968247.1364902894,-0.0026514435129198124,8.606926312376544,1.997972565229409
2656.916248713659,1457.0,0.6192832296126817,48.0,432.0,-3438192.389671435,-0.0026764692901784987,9.272690069066893,1.8235526758501435
2125.5080588012174,1341.0,0.6654168458820524,68.0,420.0,-1514322.8079180338,-0.002596708222044757,7.438782945713653,1.58501719522835
451.95438392523226,943.0,0.7957043374683683,58.0,586.0,-698817.3208900993,-0.0027938268106645673,14.550873514010418,0.4792729415962166
1009.6715432310598,1302.0,0.7965654517690198,70.0,447.0,-1214090.630621307,-0.0026741463519252312,9.20658712193282,0.7754773757535022
897.30092256333,618.0,0.6185744224528208,30.0,585.0,-755902.8619902391,-0.002823326490202479,16.980474341842136,1.4519432403937378
551.2084421719309,343.0,1.279510597331727,63.0,347.0,-90568.32590383876,-0.0027648089859980576,12.755589377982021,1.607021697294259
1096.9069941513394,1276.0,0.34677797392594845,70.0,350.0,-4321.272764681024,-0.0020440569328927763,3.138262207474646,0.859644979742429
1041.5019700643727,932.0,0.6885003361001534,63.0,574.0,-961746.3357150344,-0.0027357724867096453,11.353851696372564,1.117491384189241
758.1520392086168,940.0,0.7062728400090078,27.0,597.0,-2312273.7221474834,-0.002861204292961762,21.61450137051789,0.8065447225623583
934.7900579133317,475.0,0.11662859572107731,62.0,597.0,4984.161835578854,-0.0015240696989644784,2.032616308436233,1.9679790692912247
525.8153220143807,1256.0,0.09707377117686256,30.0,403.0,7558.559721756289,-0.0013657732560285701,1.835730574760712,0.41864277230444324
1366.4071899138958,1500.0,0.644069479043538,49.0,301.0,-791105.1278779482,-0.002548835327858791,6.6494568064518935,0.9109381266092639
618.8142102780141,1342.0,0.11076372024002734,42.0,585.0,6678.462716491985,-0.0017603549970139718,2.4200476691098416,0.46111342047542037
681.8966887288798,438.0,0.2579402109669814,21.0,495.0,-43034.637677886516,-0.0026435044186797364,8.4152515688684,1.5568417550887665
1058.5180082683569,584.0,0.2833822910583552,56.0,494.0,-23778.03567351177,-0.002336956673826124,4.524591201772059,1.8125308360759536
1255.4392657241312,1374.0,0.14460970233933135,69.0,490.0,66491.86815699803,-0.001385979243102223,1.8587121554534032,0.9137112559855395
937.5111144214118,558.0,0.412755634052323,25.0,501.0,-233345.415201025,-0.0027379595244458378,11.448613019250594,1.6801274451996626
777.1180552748306,1134.0,0.5121139996364572,64.0,484.0,-316598.1452404778,-0.002572021944577581,7.009705198643815,0.6852892903658118
796.1273883678384,571.0,0.8148956676889855,33.0,522.0,-726800.0894790476,-0.0028389137676008555,18.623565498549286,1.3942686311170551
2024.1164009049717,1360.0,0.8003433705519304,68.0,304.0,-1006262.3204042633,-0.0025367531079920256,6.47602833771059,1.4883208830183616
246.98870279910037,529.0,0.18252930519855703,38.0,329.0,292.2075050968326,-0.0017436988980446284,2.3879625635372332,0.4668973587884695
1052.805135021511,568.0,0.8498523018709676,44.0,347.0,-294736.2621965173,-0.0027200831023961422,10.717466596981364,1.8535301672913926
2078.345548718928,1128.0,1.3766251428268037,63.0,575.0,-13377586.092042375,-0.002868080029794331,22.74106032106334,1.842504919077064
1900.0649786469087,1105.0,0.0837427718038597,32.0,419.0,28898.662180170428,-0.001089713049528791,1.5704446911810774,1.7195158177800078
222.85272274714544,388.0,0.6846823723583042,27.0,459.0,-61645.76246195862,-0.002813782265839791,16.11017346725422,0.5743626874926429
449.23101620486005,354.0,0.1166945857074847,27.0,559.0,-1546.710433342541,-0.002102859720498497,3.3439586523380207,1.2690141700702262
642.3261595419401,1026.0,1.1773351588941454,46.0,598.0,-3809891.882743091,-0.002879803989592982,24.959231091291144,0.6260488884424368
1625.138702170312,1222.0,0.3176704235630654,65.0,468.0,-124627.13492030335,-0.0022753233657975993,4.139777465437233,1.3299007382735777
645.8142878950244,582.0,0.5003750120931246,64.0,484.0,-64947.33188892855,-0.0025619814170931903,6.849024486795033,1.109646542774956
1126.3898681874725,1193.0,0.06522330579900948,67.0,328.0,27854.540552773375,0.002191007891646807,0.5779224502485342,0.9441658576592393
1525.1061456109176,1055.0,0.7964706238439169,20.0,577.0,-9764186.632358797,-0.0029056713701424595,31.80370587944222,1.4455982422852298
726.1760316452302,1095.0,1.1831129157356535,49.0,550.0,-3859336.3316944297,-0.0028655857183095745,22.319056890914403,0.6631744581234978
